model_id,size,params_log,country_ref,dimension,item_id,score_raw,scale_min,scale_max,run_id,prompt_id,time_stamp
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,0,2,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,1,4,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,2,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,3,4,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,4,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,5,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,8,2,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,9,1,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,10,2,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,11,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,12,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,15,2,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,16,2,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,17,5,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,18,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,19,4,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,20,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,21,2,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,24,4,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,27,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,29,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,31,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,34,4,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,36,4,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,37,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,38,1,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,39,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,40,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,42,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,43,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,44,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,47,2,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,48,4,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,49,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,50,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,51,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,53,4,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,54,5,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,55,3,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,56,4,1,5,1,1,2025-10-28T10:33:49
Qwen_Qwen3-32B,XL,10.505149978319906,China,Individualism,57,5,1,5,1,1,2025-10-28T10:33:49
