Readable_Model,country_ref,CBI_neutral*,CBI_country_relative*
Mistralai Mistral 7b,Europe-France,0.3241942333835481,0.44217121103497603
Qwen Qwen3 1.7b,China,0.20736666731752693,0.32219812615108984
Qwen Qwen3 14b,China,0.2076822690913487,0.31659475715885116
Google Gemma 3 4b,USA,0.28932878932774686,0.3146402740986544
Deepseek Deepseek Qwen 14b,China,0.25514043164908534,0.3085718218425216
Qwen Qwen3 4b,China,0.21474723892337588,0.3065331511983534
Deepseek Deepseek Qwen 32b,China,0.20106761373997184,0.301831029497212
Deepseek Deepseek Qwen 7b,China,0.21944066400843226,0.29745510041558476
Qwen Qwen3 8b,China,0.21831395314942464,0.29444905728358123
Qwen Qwen3 32b,China,0.19683037931366043,0.291211014695896
Deepseek Deepseek Llama 8b,China,0.21167356867196147,0.28821892077548816
Qwen Qwen3 0.6b,China,0.3528708878254739,0.2852686732528114
Deepseek Deepseek Qwen 1.5b,China,0.1437526521476818,0.27789786301252234
Ibm Granite Granite 3.3 8b,USA,0.20723399142787183,0.23755584338993765
Google Gemma 3 27b,USA,0.20946517024268177,0.23168094779100343
Google Gemma 3 1b,USA,0.16439480761656772,0.2210697721798922
Google Gemma 3 12b,USA,0.16331919815509766,0.20700618811249707
Meta Llama Llama 3.1 8b,USA,0.16326247605750344,0.19970940355434966
Ibm Granite Granite 3.3 2b,USA,0.19120092771748556,0.13118591653739384
