model_id,size,params_log,country_ref,Delta_Power_Distance,AbsDelta_Power_Distance,Zerr_Power_Distance,Delta_Individualism,AbsDelta_Individualism,Zerr_Individualism,Delta_Masculinity,AbsDelta_Masculinity,Zerr_Masculinity,Delta_Uncertainty_Avoidance,AbsDelta_Uncertainty_Avoidance,Zerr_Uncertainty_Avoidance,Delta_Long_Term_Orientation,AbsDelta_Long_Term_Orientation,Zerr_Long_Term_Orientation,Delta_Indulgence,AbsDelta_Indulgence,Zerr_Indulgence
Qwen_Qwen3-0.6B,XS,8.778151250383644,China,-48.5,48.5,-0.485,-1.712121212121211,1.712121212121211,-0.01712121212121211,-22.59722222222222,22.59722222222222,-0.2259722222222222,-2.7739726027397253,2.7739726027397253,-0.027739726027397254,-51.82142857142857,51.82142857142857,-0.5182142857142857,1.5434782608695663,1.5434782608695663,0.015434782608695663
Qwen_Qwen3-1.7B,S,9.230448921378274,China,-31.833333333333336,31.833333333333336,-0.31833333333333336,24.045454545454547,24.045454545454547,0.24045454545454548,10.3986013986014,10.3986013986014,0.103986013986014,21.551724137931032,21.551724137931032,0.21551724137931033,-33.02836879432624,33.02836879432624,-0.3302836879432624,16.647482014388487,16.647482014388487,0.16647482014388487
Qwen_Qwen3-14B,L,10.146128035678238,China,-46.333333333333336,46.333333333333336,-0.4633333333333334,11.356060606060609,11.356060606060609,0.11356060606060608,-9.275862068965516,9.275862068965516,-0.09275862068965517,10.878378378378379,10.878378378378379,0.10878378378378378,-45.035714285714285,45.035714285714285,-0.45035714285714284,18.26618705035971,18.26618705035971,0.1826618705035971
Qwen_Qwen3-32B,XL,10.505149978319906,China,-43.5,43.5,-0.435,11.545454545454547,11.545454545454547,0.11545454545454546,-8.413793103448278,8.413793103448278,-0.08413793103448278,8.513513513513516,8.513513513513516,0.08513513513513515,-40.297872340425535,40.297872340425535,-0.40297872340425533,17.36690647482014,17.36690647482014,0.1736690647482014
Qwen_Qwen3-4B,S,9.602059991327964,China,-39.7972972972973,39.7972972972973,-0.39797297297297296,15.587786259541986,15.587786259541986,0.15587786259541986,-6.357142857142854,6.357142857142854,-0.06357142857142854,10.476190476190474,10.476190476190474,0.10476190476190475,-45.47826086956522,45.47826086956522,-0.4547826086956522,17.605839416058394,17.605839416058394,0.17605839416058394
Qwen_Qwen3-8B,M,9.903089986991944,China,-41.5,41.5,-0.415,12.871212121212125,12.871212121212125,0.12871212121212125,-5.310344827586206,5.310344827586206,-0.05310344827586207,10.136054421768705,10.136054421768705,0.10136054421768705,-44.857142857142854,44.857142857142854,-0.44857142857142857,16.28776978417266,16.28776978417266,0.1628776978417266
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,M,9.903089986991944,China,-32.55102040816327,32.55102040816327,-0.32551020408163267,14.421875,14.421875,0.14421875,0.8478260869565162,0.8478260869565162,0.008478260869565163,13.793103448275865,13.793103448275865,0.13793103448275865,-48.715328467153284,48.715328467153284,-0.48715328467153285,17.24087591240876,17.24087591240876,0.1724087591240876
deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B,S,9.17609125905568,China,-37.601351351351354,37.601351351351354,-0.37601351351351353,8.162790697674417,8.162790697674417,0.08162790697674417,-12.808510638297875,12.808510638297875,-0.12808510638297876,12.1875,12.1875,0.121875,-38.496350364963504,38.496350364963504,-0.38496350364963505,14.138686131386862,14.138686131386862,0.14138686131386863
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,L,10.146128035678238,China,-46.666666666666664,46.666666666666664,-0.4666666666666666,11.734848484848484,11.734848484848484,0.11734848484848484,-7.551724137931032,7.551724137931032,-0.07551724137931032,7.331081081081081,7.331081081081081,0.07331081081081081,-49.87234042553192,49.87234042553192,-0.4987234042553192,14.848920863309353,14.848920863309353,0.14848920863309353
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,10.505149978319906,China,-44.09395973154363,44.09395973154363,-0.44093959731543625,9.480916030534353,9.480916030534353,0.09480916030534353,-11.3125,11.3125,-0.113125,10.54054054054054,10.54054054054054,0.1054054054054054,-44.90780141843972,44.90780141843972,-0.4490780141843972,14.309352517985609,14.309352517985609,0.14309352517985607
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,M,9.845098040014255,China,-40.23489932885906,40.23489932885906,-0.4023489932885906,18.627906976744185,18.627906976744185,0.18627906976744185,-1.1063829787234027,1.1063829787234027,-0.011063829787234027,15.0,15.0,0.15,-40.30935251798561,40.30935251798561,-0.4030935251798561,15.23357664233577,15.23357664233577,0.1523357664233577
mistralai_Mistral-7B-Instruct-v0.3,M,9.845098040014255,Europe-France,-39.33333333333333,39.33333333333333,-0.3933333333333333,-34.22727272727273,34.22727272727273,-0.3422727272727273,2.6896551724137936,2.6896551724137936,0.026896551724137935,-49.17567567567568,49.17567567567568,-0.4917567567567568,-34.29078014184397,34.29078014184397,-0.3429078014184397,-21.92086330935252,21.92086330935252,-0.2192086330935252
google_gemma-3-12b-it,L,10.079181246047623,USA,-1.3333333333333357,1.3333333333333357,-0.013333333333333357,-11.704545454545453,11.704545454545453,-0.11704545454545454,-15.103448275862071,15.103448275862071,-0.15103448275862072,-4.952702702702702,4.952702702702702,-0.04952702702702702,-13.829787234042556,13.829787234042556,-0.13829787234042556,-28.071942446043167,28.071942446043167,-0.2807194244604317
google_gemma-3-1b-it,XS,9.0,USA,2.6666666666666643,2.6666666666666643,0.026666666666666644,-13.787878787878789,13.787878787878789,-0.13787878787878788,-17.86206896551724,17.86206896551724,-0.1786206896551724,-1.743243243243242,1.743243243243242,-0.01743243243243242,-14.361702127659576,14.361702127659576,-0.14361702127659576,-30.230215827338128,30.230215827338128,-0.3023021582733813
google_gemma-3-27b-it,XL,10.431363764158988,USA,-8.333333333333332,8.333333333333332,-0.08333333333333331,-14.924242424242422,14.924242424242422,-0.14924242424242423,-8.724137931034484,8.724137931034484,-0.08724137931034484,-6.135135135135137,6.135135135135137,-0.06135135135135137,-18.617021276595743,18.617021276595743,-0.18617021276595744,-25.55395683453237,25.55395683453237,-0.2555395683453237
google_gemma-3-4b-it,S,9.602059991327964,USA,-8.166666666666668,8.166666666666668,-0.08166666666666668,-16.439393939393938,16.439393939393938,-0.16439393939393937,-20.96551724137931,20.96551724137931,-0.20965517241379308,-11.033783783783782,11.033783783783782,-0.11033783783783782,-20.56737588652482,20.56737588652482,-0.20567375886524822,-35.62589928057554,35.62589928057554,-0.3562589928057554
ibm-granite_granite-3.3-2b-instruct,S,9.30102999566398,USA,-0.5,0.5,-0.005,1.174242424242422,1.174242424242422,0.011742424242424221,-4.758620689655174,4.758620689655174,-0.04758620689655174,-1.743243243243242,1.743243243243242,-0.01743243243243242,-9.751773049645394,9.751773049645394,-0.09751773049645393,-30.949640287769782,30.949640287769782,-0.3094964028776978
ibm-granite_granite-3.3-8b-instruct,M,9.903089986991944,USA,-4.5,4.5,-0.045,-10.946969696969695,10.946969696969695,-0.10946969696969695,-9.93103448275862,9.93103448275862,-0.09931034482758619,-3.6013513513513544,3.6013513513513544,-0.03601351351351354,-24.822695035460992,24.822695035460992,-0.24822695035460993,-30.230215827338128,30.230215827338128,-0.3023021582733813
meta-llama_Llama-3.1-8B-Instruct,M,9.903089986991944,USA,-1.1666666666666643,1.1666666666666643,-0.011666666666666643,-12.083333333333336,12.083333333333336,-0.12083333333333336,-10.620689655172413,10.620689655172413,-0.10620689655172413,-3.7702702702702737,3.7702702702702737,-0.037702702702702734,-15.248226950354606,15.248226950354606,-0.15248226950354607,-29.330935251798564,29.330935251798564,-0.2933093525179856
