model_id,size,country_ref,dimension,mean,sd,N,CI95_low,CI95_high,alpha,ICC_2k
Qwen_Qwen3-0.6B,XS,China,Individualism,41.28787878787879,26.858427799175022,396,38.63441095574361,43.94134662001397,,1.0
Qwen_Qwen3-0.6B,XS,China,Indulgence,25.543478260869566,25.651450142437128,414,23.06528930818753,28.021667213551602,,1.0
Qwen_Qwen3-0.6B,XS,China,Long_Term_Orientation,25.178571428571427,25.295938486660262,420,22.752349411597336,27.604793445545518,,1.0
Qwen_Qwen3-0.6B,XS,China,Masculinity,43.40277777777778,28.443696844430775,432,40.71301777996546,46.092537775590095,,1.0
Qwen_Qwen3-0.6B,XS,China,Power_Distance,31.5,27.633559049570536,450,28.939935510391102,34.0600644896089,,1.0
Qwen_Qwen3-0.6B,XS,China,Uncertainty_Avoidance,27.226027397260275,29.13531216317975,438,24.48990707043602,29.96214772408453,,1.0
Qwen_Qwen3-1.7B,S,China,Individualism,67.04545454545455,28.956238558183536,396,64.18473432280129,69.9061747681078,,1.0
Qwen_Qwen3-1.7B,S,China,Indulgence,40.64748201438849,19.521018003293065,417,38.76839065640387,42.52657337237311,,1.0
Qwen_Qwen3-1.7B,S,China,Long_Term_Orientation,43.97163120567376,28.88642819022086,423,41.210931902130916,46.7323305092166,,1.0
Qwen_Qwen3-1.7B,S,China,Masculinity,76.3986013986014,26.43811497200563,429,73.88972205744048,78.90748073976232,,1.0
Qwen_Qwen3-1.7B,S,China,Power_Distance,48.166666666666664,26.815483510501995,450,45.68239140614802,50.65094192718531,,1.0
Qwen_Qwen3-1.7B,S,China,Uncertainty_Avoidance,51.55172413793103,30.295304886608623,435,48.69681948557932,54.406628790282745,,1.0
Qwen_Qwen3-14B,L,China,Individualism,54.35606060606061,29.47261313832523,396,51.44432535944604,57.26779585267518,,1.0
Qwen_Qwen3-14B,L,China,Indulgence,42.26618705035971,20.76849576729335,417,40.267013600077675,44.26536050064175,,1.0
Qwen_Qwen3-14B,L,China,Long_Term_Orientation,31.964285714285715,24.862604035797325,420,29.579626321523076,34.34894510704835,,1.0
Qwen_Qwen3-14B,L,China,Masculinity,56.724137931034484,24.285024901180936,435,54.435617289556966,59.012658572512,,1.0
Qwen_Qwen3-14B,L,China,Power_Distance,33.666666666666664,21.234191027606432,450,31.699460838498396,35.63387249483493,,1.0
Qwen_Qwen3-14B,L,China,Uncertainty_Avoidance,40.87837837837838,22.751351629653694,444,38.75634625129863,43.00041050545813,,1.0
Qwen_Qwen3-32B,XL,China,Individualism,54.54545454545455,21.306573646467864,396,52.440479965160684,56.65042912574841,,1.0
Qwen_Qwen3-32B,XL,China,Indulgence,41.36690647482014,17.689282888489867,417,39.66413776679993,43.06967518284035,,1.0
Qwen_Qwen3-32B,XL,China,Long_Term_Orientation,36.702127659574465,20.11957548600911,423,34.77928355901492,38.62497176013401,,1.0
Qwen_Qwen3-32B,XL,China,Masculinity,57.58620689655172,19.12338769092369,435,55.78409766900352,59.38831612409992,,1.0
Qwen_Qwen3-32B,XL,China,Power_Distance,36.5,19.5217028447805,450,34.69144475237632,38.30855524762368,,1.0
Qwen_Qwen3-32B,XL,China,Uncertainty_Avoidance,38.513513513513516,18.715459919477258,444,36.7679114117711,40.25911561525593,,1.0
Qwen_Qwen3-4B,S,China,Individualism,58.587786259541986,26.019577665146016,393,56.007338830439714,61.16823368864426,,1.0
Qwen_Qwen3-4B,S,China,Indulgence,41.605839416058394,18.710903693770774,411,39.79155296537222,43.42012586674457,,1.0
Qwen_Qwen3-4B,S,China,Long_Term_Orientation,31.52173913043478,19.365936017651524,414,29.65079427426489,33.39268398660467,,1.0
