model_id,size,country_ref,dimension,mean,sd,N,CI95_low,CI95_high,alpha,ICC_2k
Qwen_Qwen3-32B,XL,China,Individualism,53.156565656565654,21.848401322003483,396,50.998061423741696,55.31506988938961,-0.015152384778740854,0.9952400828000912
Qwen_Qwen3-32B,XL,China,Indulgence,39.4484412470024,17.918964323314484,417,37.72356342565646,41.17331906834834,0.25425636696215,0.9966449464397376
Qwen_Qwen3-32B,XL,China,Long_Term_Orientation,36.406619385342786,20.25243894186884,423,34.471077416855685,38.34216135382989,-1.6237609329446065,0.995308129536796
Qwen_Qwen3-32B,XL,China,Masculinity,59.48275862068966,20.309166887235516,435,57.56890644957699,61.396610791802324,0.5449771007566707,0.9957042595005071
Qwen_Qwen3-32B,XL,China,Power_Distance,37.333333333333336,19.40369399772214,450,35.535710816389475,39.130955850277196,-0.10883366588064576,0.995703767925089
Qwen_Qwen3-32B,XL,China,Uncertainty_Avoidance,38.513513513513516,19.955872250762575,444,36.65221741430405,40.374809612722984,-1.8845281702424563,0.9963876869140136
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,China,Individualism,54.92424242424242,24.411956360535232,396,52.51247277761561,57.33601207086923,0.6374824739055928,0.9931596461714589
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,China,Indulgence,41.007194244604314,21.018362988915506,417,38.983968599056915,43.03041989015171,-0.03123244579260763,0.9954060176960657
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,China,Long_Term_Orientation,35.342789598108745,21.790433110383336,423,33.260260283110306,37.42531891310718,-0.06555367709213875,0.9937221658586634
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,China,Masculinity,57.87356321839081,23.694388978647567,435,55.64070167159472,60.106424765186894,0.5526680526680526,0.9940288693691278
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,China,Power_Distance,38.111111111111114,23.18678125664074,450,35.96301085312507,40.25921136909716,-0.8819124743468856,0.9936224480128867
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,China,Uncertainty_Avoidance,39.13288288288288,21.678502521621095,444,37.11091603156401,41.154849734201754,-4.244897959183673,0.993672179074461
google_gemma-3-27b-it,XL,USA,Individualism,44.94949494949495,20.431979767331228,396,42.930925528200845,46.96806437078905,0.4629667835774706,0.9994079623299297
google_gemma-3-27b-it,XL,USA,Indulgence,42.44604316546763,16.623303555090082,417,40.845885527876426,44.04620080305883,-0.6714975845410627,0.999803085831275
google_gemma-3-27b-it,XL,USA,Long_Term_Orientation,31.73758865248227,17.1795558221816,423,30.09572460888521,33.37945269607933,0.33571428571428574,0.9997858855636955
google_gemma-3-27b-it,XL,USA,Masculinity,52.98850574712644,17.04662503786068,435,51.38210207138738,54.5949094228655,-1.2586805555555556,0.9996861028649052
google_gemma-3-27b-it,XL,USA,Power_Distance,31.5,15.499299502814662,450,30.064093528459725,32.93590647154028,-0.3355704697986577,0.9998448672635247
google_gemma-3-27b-it,XL,USA,Uncertainty_Avoidance,39.583333333333336,19.075584282692624,444,37.80414221758742,41.36252444907925,0.3775510204081635,0.9997357200901725
mistralai_Mistral-7B-Instruct-v0.3,M,Europe-France,Individualism,41.98232323232323,30.87003693570373,396,38.93253005015377,45.03211641449269,0.4225560206845604,0.9981954440286336
mistralai_Mistral-7B-Instruct-v0.3,M,Europe-France,Indulgence,27.158273381294965,20.469698169867275,417,25.187862159653626,29.128684602936303,0.578234031132582,0.9986982496389042
mistralai_Mistral-7B-Instruct-v0.3,M,Europe-France,Long_Term_Orientation,25.8274231678487,23.139818264536242,423,23.615932022375766,28.038914313321634,0.18814756671899519,0.9983451219011387
mistralai_Mistral-7B-Instruct-v0.3,M,Europe-France,Masculinity,46.37931034482759,26.722779500339048,435,43.861065758584466,48.89755493107071,-2.349537037037037,0.9989348807354854
mistralai_Mistral-7B-Instruct-v0.3,M,Europe-France,Power_Distance,27.944444444444443,24.37291986949066,450,25.686456374430136,30.20243251445875,0.6627095207581533,0.9988419605146305
mistralai_Mistral-7B-Instruct-v0.3,M,Europe-France,Uncertainty_Avoidance,38.4009009009009,25.431474768347417,444,36.02889209123034,40.77290971057146,-0.42595499738356885,0.9987916708814659
