family,dimension,item_id,prompt_id,run_id,0.6,1.0,1.5,1.7,2.0,4.0,7.0,8.0,12.0,14.0,27.0,32.0
deepseek-qwen,Individualism,0,1,1,,,75.0,,,,0.0,50.0,,0.0,,0.0
deepseek-qwen,Individualism,0,1,2,,,75.0,,,,0.0,50.0,,0.0,,0.0
deepseek-qwen,Individualism,0,1,3,,,75.0,,,,0.0,50.0,,0.0,,0.0
deepseek-qwen,Individualism,1,1,1,,,25.0,,,,75.0,75.0,,50.0,,75.0
deepseek-qwen,Individualism,1,1,2,,,25.0,,,,75.0,75.0,,50.0,,75.0
deepseek-qwen,Individualism,1,1,3,,,25.0,,,,75.0,75.0,,50.0,,75.0
deepseek-qwen,Individualism,10,1,1,,,50.0,,,,75.0,25.0,,50.0,,75.0
deepseek-qwen,Individualism,10,1,2,,,50.0,,,,75.0,25.0,,50.0,,75.0
deepseek-qwen,Individualism,10,1,3,,,50.0,,,,75.0,25.0,,50.0,,75.0
deepseek-qwen,Individualism,100,1,1,,,50.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,100,1,2,,,50.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,100,1,3,,,50.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,102,1,1,,,25.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,102,1,2,,,25.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,102,1,3,,,25.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,103,1,1,,,25.0,,,,75.0,25.0,,50.0,,25.0
deepseek-qwen,Individualism,103,1,2,,,25.0,,,,75.0,25.0,,50.0,,25.0
deepseek-qwen,Individualism,103,1,3,,,25.0,,,,75.0,25.0,,50.0,,25.0
deepseek-qwen,Individualism,104,1,1,,,25.0,,,,75.0,25.0,,25.0,,0.0
deepseek-qwen,Individualism,104,1,2,,,25.0,,,,75.0,25.0,,25.0,,0.0
deepseek-qwen,Individualism,104,1,3,,,25.0,,,,75.0,25.0,,25.0,,0.0
deepseek-qwen,Individualism,105,1,1,,,100.0,,,,50.0,100.0,,50.0,,100.0
deepseek-qwen,Individualism,105,1,2,,,100.0,,,,50.0,100.0,,50.0,,100.0
deepseek-qwen,Individualism,105,1,3,,,100.0,,,,50.0,100.0,,50.0,,100.0
deepseek-qwen,Individualism,106,1,1,,,50.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,106,1,2,,,50.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,106,1,3,,,50.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,107,1,1,,,75.0,,,,75.0,75.0,,75.0,,75.0
deepseek-qwen,Individualism,107,1,2,,,75.0,,,,75.0,75.0,,75.0,,75.0
deepseek-qwen,Individualism,107,1,3,,,75.0,,,,75.0,75.0,,75.0,,75.0
deepseek-qwen,Individualism,109,1,1,,,100.0,,,,100.0,50.0,,50.0,,100.0
deepseek-qwen,Individualism,109,1,2,,,100.0,,,,100.0,50.0,,50.0,,100.0
deepseek-qwen,Individualism,109,1,3,,,100.0,,,,100.0,50.0,,50.0,,100.0
deepseek-qwen,Individualism,11,1,1,,,75.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,11,1,2,,,75.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,11,1,3,,,75.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,110,1,1,,,25.0,,,,100.0,25.0,,50.0,,50.0
deepseek-qwen,Individualism,110,1,2,,,25.0,,,,100.0,25.0,,50.0,,50.0
deepseek-qwen,Individualism,110,1,3,,,25.0,,,,100.0,25.0,,50.0,,50.0
deepseek-qwen,Individualism,113,1,1,,,25.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,113,1,2,,,25.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,113,1,3,,,25.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,114,1,1,,,25.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,114,1,2,,,25.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,114,1,3,,,25.0,,,,50.0,50.0,,50.0,,50.0
deepseek-qwen,Individualism,118,1,1,,,75.0,,,,50.0,100.0,,50.0,,50.0
deepseek-qwen,Individualism,118,1,2,,,75.0,,,,50.0,100.0,,50.0,,50.0
deepseek-qwen,Individualism,118,1,3,,,75.0,,,,50.0,100.0,,50.0,,50.0
deepseek-qwen,Individualism,119,1,1,,,75.0,,,,100.0,25.0,,25.0,,25.0
deepseek-qwen,Individualism,119,1,2,,,75.0,,,,100.0,25.0,,25.0,,25.0
