family,dimension,k_sizes,n_blocks,friedman_chi2,friedman_p,kendalls_W,sizes_tested
deepseek-qwen,Individualism,3,384,5.2677966101694915,0.07179802537229606,0.006859110169491526,1.5|14.0|32.0
deepseek-qwen,Indulgence,3,411,2.317757009345624,0.3138379513872217,0.0028196557291309296,1.5|14.0|32.0
deepseek-qwen,Long_Term_Orientation,3,417,26.213793103447827,2.0311741121797906e-06,0.031431406598858305,7.0|14.0|32.0
deepseek-qwen,Masculinity,3,420,6.540983606558212,0.03798773998527435,0.007786885245902634,1.5|14.0|32.0
deepseek-qwen,Power_Distance,3,444,21.038216560508623,2.7015270432685988e-05,0.02369168531588809,7.0|14.0|32.0
deepseek-qwen,Uncertainty_Avoidance,3,435,21.22658610271888,2.4586991606805512e-05,0.024398374830711358,7.0|14.0|32.0
gemma,Individualism,3,396,42.20224719101197,6.853279757716434e-10,0.05328566564521713,1.0|4.0|12.0
gemma,Indulgence,3,417,118.39999999999982,1.9487973093167618e-26,0.14196642685851296,1.0|4.0|12.0
gemma,Long_Term_Orientation,3,423,95.26363636363696,2.0595114017581847e-21,0.11260477111541012,1.0|4.0|12.0
gemma,Masculinity,3,435,66.71889400921748,3.2521925195988662e-15,0.07668838391864079,1.0|4.0|12.0
gemma,Power_Distance,3,450,181.56953642384167,3.738316991382937e-40,0.20174392935982408,1.0|4.0|12.0
gemma,Uncertainty_Avoidance,3,444,140.54887218045025,3.021344081844579e-31,0.15827575695996648,1.0|4.0|12.0
granite,Individualism,2,0,,,,2.0|8.0
granite,Indulgence,2,0,,,,2.0|8.0
granite,Long_Term_Orientation,2,0,,,,2.0|8.0
granite,Masculinity,2,0,,,,2.0|8.0
granite,Power_Distance,2,0,,,,2.0|8.0
granite,Uncertainty_Avoidance,2,0,,,,2.0|8.0
llama,Individualism,1,0,,,,8.0
llama,Indulgence,1,0,,,,8.0
llama,Long_Term_Orientation,1,0,,,,8.0
llama,Masculinity,1,0,,,,8.0
llama,Power_Distance,1,0,,,,8.0
llama,Uncertainty_Avoidance,1,0,,,,8.0
mistral,Individualism,1,0,,,,7.0
mistral,Indulgence,1,0,,,,7.0
mistral,Long_Term_Orientation,1,0,,,,7.0
mistral,Masculinity,1,0,,,,7.0
mistral,Power_Distance,1,0,,,,7.0
mistral,Uncertainty_Avoidance,1,0,,,,7.0
qwen3,Individualism,3,396,204.3020134228201,4.328938982578306e-45,0.25795708765507586,0.6|1.7|8.0
qwen3,Indulgence,3,417,3.352941176469732,0.18703292871679064,0.004020313161234691,1.7|8.0|14.0
qwen3,Long_Term_Orientation,3,420,122.87619047619066,2.078615969054912e-27,0.1462811791383222,0.6|1.7|32.0
qwen3,Masculinity,3,435,14.684210526314914,0.0006476855361253434,0.016878402903810246,8.0|14.0|32.0
qwen3,Power_Distance,3,450,143.63999999999996,6.441252287605124e-32,0.15959999999999996,0.6|1.7|8.0
qwen3,Uncertainty_Avoidance,3,441,4.876404494383167,0.08731768606016105,0.005528803281613568,4.0|14.0|32.0
