family,dimension,size_a,size_b,n_paired_items
deepseek-qwen,Individualism,1.5,7.0,378
deepseek-qwen,Individualism,1.5,8.0,375
deepseek-qwen,Individualism,1.5,14.0,387
deepseek-qwen,Individualism,1.5,32.0,384
deepseek-qwen,Individualism,7.0,8.0,375
deepseek-qwen,Individualism,7.0,14.0,387
deepseek-qwen,Individualism,7.0,32.0,384
deepseek-qwen,Individualism,8.0,14.0,384
deepseek-qwen,Individualism,8.0,32.0,384
deepseek-qwen,Individualism,14.0,32.0,393
deepseek-qwen,Indulgence,1.5,7.0,405
deepseek-qwen,Indulgence,1.5,8.0,405
deepseek-qwen,Indulgence,1.5,14.0,411
deepseek-qwen,Indulgence,1.5,32.0,411
deepseek-qwen,Indulgence,7.0,8.0,405
deepseek-qwen,Indulgence,7.0,14.0,411
deepseek-qwen,Indulgence,7.0,32.0,411
deepseek-qwen,Indulgence,8.0,14.0,411
deepseek-qwen,Indulgence,8.0,32.0,411
deepseek-qwen,Indulgence,14.0,32.0,417
deepseek-qwen,Long_Term_Orientation,1.5,7.0,405
deepseek-qwen,Long_Term_Orientation,1.5,8.0,399
deepseek-qwen,Long_Term_Orientation,1.5,14.0,411
deepseek-qwen,Long_Term_Orientation,1.5,32.0,411
deepseek-qwen,Long_Term_Orientation,7.0,8.0,405
deepseek-qwen,Long_Term_Orientation,7.0,14.0,417
deepseek-qwen,Long_Term_Orientation,7.0,32.0,417
deepseek-qwen,Long_Term_Orientation,8.0,14.0,411
deepseek-qwen,Long_Term_Orientation,8.0,32.0,411
deepseek-qwen,Long_Term_Orientation,14.0,32.0,423
deepseek-qwen,Masculinity,1.5,7.0,411
deepseek-qwen,Masculinity,1.5,8.0,402
deepseek-qwen,Masculinity,1.5,14.0,423
deepseek-qwen,Masculinity,1.5,32.0,420
deepseek-qwen,Masculinity,7.0,8.0,402
deepseek-qwen,Masculinity,7.0,14.0,423
deepseek-qwen,Masculinity,7.0,32.0,420
deepseek-qwen,Masculinity,8.0,14.0,414
deepseek-qwen,Masculinity,8.0,32.0,411
deepseek-qwen,Masculinity,14.0,32.0,432
deepseek-qwen,Power_Distance,1.5,7.0,441
deepseek-qwen,Power_Distance,1.5,8.0,435
deepseek-qwen,Power_Distance,1.5,14.0,444
deepseek-qwen,Power_Distance,1.5,32.0,441
deepseek-qwen,Power_Distance,7.0,8.0,441
deepseek-qwen,Power_Distance,7.0,14.0,447
deepseek-qwen,Power_Distance,7.0,32.0,444
deepseek-qwen,Power_Distance,8.0,14.0,441
deepseek-qwen,Power_Distance,8.0,32.0,438
deepseek-qwen,Power_Distance,14.0,32.0,447
deepseek-qwen,Uncertainty_Avoidance,1.5,7.0,423
deepseek-qwen,Uncertainty_Avoidance,1.5,8.0,423
deepseek-qwen,Uncertainty_Avoidance,1.5,14.0,432
deepseek-qwen,Uncertainty_Avoidance,1.5,32.0,432
deepseek-qwen,Uncertainty_Avoidance,7.0,8.0,426
deepseek-qwen,Uncertainty_Avoidance,7.0,14.0,435
deepseek-qwen,Uncertainty_Avoidance,7.0,32.0,435
deepseek-qwen,Uncertainty_Avoidance,8.0,14.0,435
deepseek-qwen,Uncertainty_Avoidance,8.0,32.0,435
deepseek-qwen,Uncertainty_Avoidance,14.0,32.0,444
gemma,Individualism,1.0,4.0,396
gemma,Individualism,1.0,12.0,396
gemma,Individualism,1.0,27.0,396
gemma,Individualism,4.0,12.0,396
gemma,Individualism,4.0,27.0,396
gemma,Individualism,12.0,27.0,396
gemma,Indulgence,1.0,4.0,417
gemma,Indulgence,1.0,12.0,417
gemma,Indulgence,1.0,27.0,417
gemma,Indulgence,4.0,12.0,417
gemma,Indulgence,4.0,27.0,417
gemma,Indulgence,12.0,27.0,417
gemma,Long_Term_Orientation,1.0,4.0,423
gemma,Long_Term_Orientation,1.0,12.0,423
gemma,Long_Term_Orientation,1.0,27.0,423
gemma,Long_Term_Orientation,4.0,12.0,423
gemma,Long_Term_Orientation,4.0,27.0,423
gemma,Long_Term_Orientation,12.0,27.0,423
gemma,Masculinity,1.0,4.0,435
gemma,Masculinity,1.0,12.0,435
gemma,Masculinity,1.0,27.0,435
gemma,Masculinity,4.0,12.0,435
gemma,Masculinity,4.0,27.0,435
gemma,Masculinity,12.0,27.0,435
gemma,Power_Distance,1.0,4.0,450
gemma,Power_Distance,1.0,12.0,450
gemma,Power_Distance,1.0,27.0,450
gemma,Power_Distance,4.0,12.0,450
gemma,Power_Distance,4.0,27.0,450
gemma,Power_Distance,12.0,27.0,450
gemma,Uncertainty_Avoidance,1.0,4.0,444
gemma,Uncertainty_Avoidance,1.0,12.0,444
gemma,Uncertainty_Avoidance,1.0,27.0,444
gemma,Uncertainty_Avoidance,4.0,12.0,444
gemma,Uncertainty_Avoidance,4.0,27.0,444
gemma,Uncertainty_Avoidance,12.0,27.0,444
granite,Individualism,2.0,8.0,396
granite,Indulgence,2.0,8.0,417
granite,Long_Term_Orientation,2.0,8.0,423
granite,Masculinity,2.0,8.0,435
granite,Power_Distance,2.0,8.0,450
granite,Uncertainty_Avoidance,2.0,8.0,444
qwen3,Individualism,0.6,1.7,396
qwen3,Individualism,0.6,4.0,393
qwen3,Individualism,0.6,8.0,396
qwen3,Individualism,0.6,14.0,396
qwen3,Individualism,0.6,32.0,396
qwen3,Individualism,1.7,4.0,393
qwen3,Individualism,1.7,8.0,396
qwen3,Individualism,1.7,14.0,396
qwen3,Individualism,1.7,32.0,396
qwen3,Individualism,4.0,8.0,393
qwen3,Individualism,4.0,14.0,393
qwen3,Individualism,4.0,32.0,393
qwen3,Individualism,8.0,14.0,396
qwen3,Individualism,8.0,32.0,396
qwen3,Individualism,14.0,32.0,396
qwen3,Indulgence,0.6,1.7,414
qwen3,Indulgence,0.6,4.0,408
qwen3,Indulgence,0.6,8.0,414
qwen3,Indulgence,0.6,14.0,414
qwen3,Indulgence,0.6,32.0,414
qwen3,Indulgence,1.7,4.0,411
qwen3,Indulgence,1.7,8.0,417
qwen3,Indulgence,1.7,14.0,417
qwen3,Indulgence,1.7,32.0,417
qwen3,Indulgence,4.0,8.0,411
qwen3,Indulgence,4.0,14.0,411
qwen3,Indulgence,4.0,32.0,411
qwen3,Indulgence,8.0,14.0,417
qwen3,Indulgence,8.0,32.0,417
qwen3,Indulgence,14.0,32.0,417
qwen3,Long_Term_Orientation,0.6,1.7,420
qwen3,Long_Term_Orientation,0.6,4.0,411
qwen3,Long_Term_Orientation,0.6,8.0,417
qwen3,Long_Term_Orientation,0.6,14.0,417
qwen3,Long_Term_Orientation,0.6,32.0,420
qwen3,Long_Term_Orientation,1.7,4.0,414
qwen3,Long_Term_Orientation,1.7,8.0,420
qwen3,Long_Term_Orientation,1.7,14.0,420
qwen3,Long_Term_Orientation,1.7,32.0,423
qwen3,Long_Term_Orientation,4.0,8.0,414
qwen3,Long_Term_Orientation,4.0,14.0,411
qwen3,Long_Term_Orientation,4.0,32.0,414
qwen3,Long_Term_Orientation,8.0,14.0,417
qwen3,Long_Term_Orientation,8.0,32.0,420
qwen3,Long_Term_Orientation,14.0,32.0,420
qwen3,Masculinity,0.6,1.7,426
qwen3,Masculinity,0.6,4.0,417
qwen3,Masculinity,0.6,8.0,432
qwen3,Masculinity,0.6,14.0,432
qwen3,Masculinity,0.6,32.0,432
qwen3,Masculinity,1.7,4.0,414
qwen3,Masculinity,1.7,8.0,429
qwen3,Masculinity,1.7,14.0,429
qwen3,Masculinity,1.7,32.0,429
qwen3,Masculinity,4.0,8.0,420
qwen3,Masculinity,4.0,14.0,420
qwen3,Masculinity,4.0,32.0,420
qwen3,Masculinity,8.0,14.0,435
qwen3,Masculinity,8.0,32.0,435
qwen3,Masculinity,14.0,32.0,435
qwen3,Power_Distance,0.6,1.7,450
qwen3,Power_Distance,0.6,4.0,444
qwen3,Power_Distance,0.6,8.0,450
qwen3,Power_Distance,0.6,14.0,450
qwen3,Power_Distance,0.6,32.0,450
qwen3,Power_Distance,1.7,4.0,444
qwen3,Power_Distance,1.7,8.0,450
qwen3,Power_Distance,1.7,14.0,450
qwen3,Power_Distance,1.7,32.0,450
qwen3,Power_Distance,4.0,8.0,444
qwen3,Power_Distance,4.0,14.0,444
qwen3,Power_Distance,4.0,32.0,444
qwen3,Power_Distance,8.0,14.0,450
qwen3,Power_Distance,8.0,32.0,450
qwen3,Power_Distance,14.0,32.0,450
qwen3,Uncertainty_Avoidance,0.6,1.7,429
qwen3,Uncertainty_Avoidance,0.6,4.0,435
qwen3,Uncertainty_Avoidance,0.6,8.0,435
qwen3,Uncertainty_Avoidance,0.6,14.0,438
qwen3,Uncertainty_Avoidance,0.6,32.0,438
qwen3,Uncertainty_Avoidance,1.7,4.0,432
qwen3,Uncertainty_Avoidance,1.7,8.0,435
qwen3,Uncertainty_Avoidance,1.7,14.0,435
qwen3,Uncertainty_Avoidance,1.7,32.0,435
qwen3,Uncertainty_Avoidance,4.0,8.0,438
qwen3,Uncertainty_Avoidance,4.0,14.0,441
qwen3,Uncertainty_Avoidance,4.0,32.0,441
qwen3,Uncertainty_Avoidance,8.0,14.0,441
qwen3,Uncertainty_Avoidance,8.0,32.0,441
qwen3,Uncertainty_Avoidance,14.0,32.0,444
