family,dimension,size_a,size_b,wilcoxon_T,p_raw,p_holm,rank_biserial_r,n_pairs
deepseek-qwen,Individualism,1.5,7.0,8215.5,2.1537079145634582e-07,1.938337123107112e-06,0.38681146439767133,378
deepseek-qwen,Individualism,1.5,8.0,10887.0,0.00023603651082172437,0.0016522555757520706,0.26553329285569727,375
deepseek-qwen,Individualism,1.5,14.0,11787.0,0.05244281658217034,0.10488563316434069,0.142607746863066,387
deepseek-qwen,Individualism,1.5,32.0,13884.0,0.22939414213110676,0.22939414213110676,0.08600770218228493,384
deepseek-qwen,Individualism,7.0,8.0,7449.0,0.002438165874069172,0.01219082937034586,0.2437947312319172,375
deepseek-qwen,Individualism,7.0,14.0,6226.5,1.6038791462037528e-05,0.00012831033169630022,0.34835164835164834,387
deepseek-qwen,Individualism,7.0,32.0,4759.5,9.33472865477975e-09,9.33472865477975e-08,0.46984126984126984,384
deepseek-qwen,Individualism,8.0,14.0,5715.0,0.024233166445673696,0.09693266578269479,0.19484361792054095,384
deepseek-qwen,Individualism,8.0,32.0,5221.5,0.0007440021785300606,0.004464013071180364,0.2898816809465524,384
deepseek-qwen,Individualism,14.0,32.0,3496.5,0.03371069291501694,0.10113207874505081,0.20334928229665072,393
deepseek-qwen,Indulgence,1.5,7.0,13623.0,0.635362891221961,0.8675588714530318,0.03393256036591852,405
deepseek-qwen,Indulgence,1.5,8.0,15832.5,0.04648900186010747,0.3719120148808598,0.1344813448134481,405
deepseek-qwen,Indulgence,1.5,14.0,16149.0,0.4164043298379285,0.8675588714530318,0.0553654470474686,411
deepseek-qwen,Indulgence,1.5,32.0,17689.5,0.8675588714530318,0.8675588714530318,0.0111521046453128,411
deepseek-qwen,Indulgence,7.0,8.0,5832.0,0.0821034602901104,0.5747242220307728,0.14830230010952905,405
deepseek-qwen,Indulgence,7.0,14.0,9091.5,0.8160678115280311,0.8675588714530318,0.01862046632124348,411
deepseek-qwen,Indulgence,7.0,32.0,10159.5,0.45517092274343507,0.8675588714530318,0.0561594202898551,411
deepseek-qwen,Indulgence,8.0,14.0,8031.0,0.017988571152630847,0.16189714037367764,0.18471143596771733,411
deepseek-qwen,Indulgence,8.0,32.0,5274.0,0.0005449750894853595,0.0054497508948535955,0.2827417380660955,411
deepseek-qwen,Indulgence,14.0,32.0,3964.5,0.571495287990887,0.8675588714530318,0.05438282647584969,417
deepseek-qwen,Long_Term_Orientation,1.5,7.0,14596.5,0.23256231399555072,0.46512462799110144,0.08422736683606247,405
deepseek-qwen,Long_Term_Orientation,1.5,8.0,9808.5,7.820932098516891e-10,7.038838888665201e-09,0.426252522593665,399
deepseek-qwen,Long_Term_Orientation,1.5,14.0,8047.5,2.2200637314516992e-10,2.2200637314516992e-09,0.45709370572758556,411
deepseek-qwen,Long_Term_Orientation,1.5,32.0,10308.0,0.00018305819691205287,0.0009152909845602644,0.2690139346877992,411
deepseek-qwen,Long_Term_Orientation,7.0,8.0,8542.5,2.688660626199929e-07,1.8820624383399504e-06,0.37861429350791054,405
deepseek-qwen,Long_Term_Orientation,7.0,14.0,7185.0,3.1540151037522125e-08,2.52321208300177e-07,0.41946430735668405,417
deepseek-qwen,Long_Term_Orientation,7.0,32.0,9189.0,0.004559330793937741,0.013677992381813223,0.2158218125960062,417
deepseek-qwen,Long_Term_Orientation,8.0,14.0,9927.0,0.7808743053868371,0.7808743053868371,0.02201861977242503,411
deepseek-qwen,Long_Term_Orientation,8.0,32.0,8533.5,0.002763039360870874,0.011052157443483496,0.2296547054840894,411
