family,dimension,size_b,n,mean,sd,se,ci95_halfwidth
deepseek-qwen,Individualism,1.5,387,51.16279069767442,32.22036913212639,1.637853409412687,3.2101926824488665
deepseek-qwen,Individualism,7.0,387,61.627906976744185,30.06574913413112,1.528327919644581,2.9955227225033787
deepseek-qwen,Individualism,8.0,384,57.421875,27.698849371903787,1.4135009879869709,2.770461936454463
deepseek-qwen,Individualism,14.0,396,54.734848484848484,23.69356901963858,1.1906466421595456,2.3336674186327095
deepseek-qwen,Individualism,32.0,393,52.48091603053435,24.908306687045,1.2564578649730551,2.462657415347188
deepseek-qwen,Indulgence,1.5,411,38.13868613138686,25.853767706293855,1.2752723144251112,2.499533736273218
deepseek-qwen,Indulgence,7.0,411,39.23357664233577,20.688371698079393,1.0204821191564242,2.000144953546591
deepseek-qwen,Indulgence,8.0,411,41.24087591240876,22.95101641219529,1.132090152232001,2.218896698374722
deepseek-qwen,Indulgence,14.0,417,38.84892086330935,22.301338892110085,1.0921012641586123,2.14051847775088
deepseek-qwen,Indulgence,32.0,417,38.30935251798561,19.983953510180783,0.9786184137615426,1.9180920909726233
deepseek-qwen,Long_Term_Orientation,1.5,411,38.503649635036496,26.540569246268422,1.3091497360599036,2.565933482677411
deepseek-qwen,Long_Term_Orientation,7.0,417,36.8705035971223,29.923420175276846,1.465356190472075,2.872098133325267
deepseek-qwen,Long_Term_Orientation,8.0,411,28.284671532846716,25.98384551754515,1.2816885796787596,2.5121096161703687
deepseek-qwen,Long_Term_Orientation,14.0,423,27.127659574468087,22.7980577446082,1.1084794996952614,2.1726198194027124
deepseek-qwen,Long_Term_Orientation,32.0,423,32.09219858156028,21.768569686532885,1.0584240774158147,2.0745111917349965
deepseek-qwen,Masculinity,1.5,423,53.191489361702125,32.08554506750532,1.560052586158992,3.0577030688716245
deepseek-qwen,Masculinity,7.0,423,64.8936170212766,28.898425348054108,1.4050895225654843,2.753975464228349
deepseek-qwen,Masculinity,8.0,414,66.84782608695652,27.8077720528983,1.3666774359296017,2.6786877744220194
deepseek-qwen,Masculinity,14.0,435,58.44827586206897,25.15287755555308,1.20598817146431,2.3637368160700474
deepseek-qwen,Masculinity,32.0,432,54.6875,24.318212003245687,1.1700105205236904,2.293220620226433
deepseek-qwen,Power_Distance,1.5,444,42.398648648648646,29.19037068681012,1.3853136868182596,2.715214826163789
deepseek-qwen,Power_Distance,7.0,447,39.76510067114094,24.946145382413597,1.1799121885960724,2.3126278896483017
deepseek-qwen,Power_Distance,8.0,441,47.44897959183673,26.068315060486054,1.2413483362136215,2.433042738978698
deepseek-qwen,Power_Distance,14.0,450,33.333333333333336,23.418816792388476,1.1039736107508855,2.1637882770717356
deepseek-qwen,Power_Distance,32.0,447,35.90604026845637,25.987581274018396,1.2291704160019061,2.4091740153637358
deepseek-qwen,Uncertainty_Avoidance,1.5,432,42.1875,27.74418324940084,1.3348426389573234,2.616291572356354
deepseek-qwen,Uncertainty_Avoidance,7.0,435,45.0,23.257227210300044,1.115098694164617,2.1855934405626494
deepseek-qwen,Uncertainty_Avoidance,8.0,435,43.793103448275865,23.057800508928647,1.10553691570023,2.1668523547724505
deepseek-qwen,Uncertainty_Avoidance,14.0,444,37.33108108108108,21.6743979939405,1.0286214079535274,2.0160979595889135
deepseek-qwen,Uncertainty_Avoidance,32.0,444,40.54054054054054,21.0621069278429,0.9995633598978096,1.959144185399707
gemma,Individualism,1.0,396,46.21212121212121,10.441904600770853,0.5247254493551926,1.0284618807361774
gemma,Individualism,4.0,396,43.56060606060606,18.645903982589946,0.936991930109762,1.8365041830151334
gemma,Individualism,12.0,396,48.29545454545455,14.838747756557455,0.745675131321652,1.4615232573904378
gemma,Individualism,27.0,396,45.07575757575758,20.307617032808363,1.020496152788724,2.0001724594658987
gemma,Indulgence,1.0,417,37.76978417266187,12.86728664397846,0.6301137379312973,1.2350229263453427
gemma,Indulgence,4.0,417,32.37410071942446,15.14748331214642,0.7417754491802792,1.453879880393347
gemma,Indulgence,12.0,417,39.92805755395683,13.99242941999718,0.6852122167263842,1.3430159447837131
gemma,Indulgence,27.0,417,42.44604316546763,16.349917370058712,0.8006588983339965,1.5692914407346332
gemma,Long_Term_Orientation,1.0,423,35.638297872340424,12.37522172470887,0.6017038705530731,1.1793395862840232
gemma,Long_Term_Orientation,4.0,423,29.43262411347518,11.653959092471135,0.566634881313371,1.1106043673742072
gemma,Long_Term_Orientation,12.0,423,36.170212765957444,14.427933731327277,0.7015101436840797,1.3749598816207962
gemma,Long_Term_Orientation,27.0,423,31.382978723404257,17.484994070529897,0.85014950381286,1.6662930274732057
gemma,Masculinity,1.0,435,44.13793103448276,13.150294291351425,0.6305083516435754,1.2357963692214078
gemma,Masculinity,4.0,435,41.03448275862069,17.30949519390412,0.8299267712714659,1.626656471692073
gemma,Masculinity,12.0,435,46.89655172413793,15.240797240446184,0.730740296217366,1.4322509805860373
gemma,Masculinity,27.0,435,53.275862068965516,16.95119699644445,0.8127476876044385,1.5929854677046995
gemma,Power_Distance,1.0,450,42.666666666666664,12.77699770598004,0.6023134480735631,1.1805343582241836
gemma,Power_Distance,4.0,450,31.833333333333332,16.5755676586694,0.7813797528974371,1.5315043156789767
gemma,Power_Distance,12.0,450,38.666666666666664,15.178962114340914,0.7155431361616104,1.4024645468767563
gemma,Power_Distance,27.0,450,31.666666666666668,15.47323286879722,0.7294151925603394,1.4296537774182652
gemma,Uncertainty_Avoidance,1.0,444,44.25675675675676,12.02937804645325,0.570889017836034,1.1189424749586265
gemma,Uncertainty_Avoidance,4.0,444,34.96621621621622,18.34116693703777,0.8704332624860386,1.7060491944726357
gemma,Uncertainty_Avoidance,12.0,444,41.0472972972973,15.120882870180475,0.7176053439534398,1.4065064741487419
