model_id,size,params_log,country_ref,Temperature,Power_Distance,Individualism,Masculinity,Uncertainty_Avoidance,Long_Term_Orientation,Indulgence
Qwen_Qwen3-32B,XL,10.505149978319906,China,0,36.5,54.54545454545455,57.58620689655172,38.513513513513516,36.702127659574465,41.36690647482014
Qwen_Qwen3-32B,XL,10.505149978319906,China,0.5,35.833333333333336,52.58838383838384,57.35632183908046,39.752252252252255,37.29314420803782,39.86810551558753
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,10.505149978319906,China,0.5,37.44444444444444,55.05050505050505,57.41379310344828,39.189189189189186,33.56973995271868,39.02877697841727
google_gemma-3-27b-it,XL,10.431363764158988,USA,0.5,31.666666666666668,45.01262626262626,53.160919540229884,39.86486486486486,31.6193853427896,42.44604316546763
mistralai_Mistral-7B-Instruct-v0.3,M,9.845098040014255,Europe-France,0.5,27.833333333333332,41.224747474747474,45.747126436781606,36.880630630630634,26.182033096926713,26.19904076738609
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,10.505149978319906,China,0,35.90604026845637,52.48091603053435,54.6875,40.54054054054054,32.09219858156028,38.30935251798561
google_gemma-3-27b-it,XL,10.431363764158988,USA,0,31.666666666666668,45.07575757575758,53.275862068965516,39.86486486486486,31.382978723404257,42.44604316546763
mistralai_Mistral-7B-Instruct-v0.3,M,9.845098040014255,Europe-France,0,28.666666666666668,39.77272727272727,45.689655172413794,36.82432432432432,25.70921985815603,26.07913669064748
Qwen_Qwen3-32B,XL,10.505149978319906,China,1,37.333333333333336,53.156565656565654,59.48275862068966,38.513513513513516,36.406619385342786,39.4484412470024
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,10.505149978319906,China,1,38.111111111111114,54.92424242424242,57.87356321839081,39.13288288288288,35.342789598108745,41.007194244604314
google_gemma-3-27b-it,XL,10.431363764158988,USA,1,31.5,44.94949494949495,52.98850574712644,39.583333333333336,31.73758865248227,42.44604316546763
mistralai_Mistral-7B-Instruct-v0.3,M,9.845098040014255,Europe-France,1,27.944444444444443,41.98232323232323,46.37931034482759,38.4009009009009,25.8274231678487,27.158273381294965
