model_id,dimension,item_id,prompt_id,run_id,0.0,0.5,1.0
Qwen_Qwen3-32B,Individualism,0,1,1,75.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,0,1,2,75.0,0.0,50.0
Qwen_Qwen3-32B,Individualism,0,1,3,75.0,50.0,75.0
Qwen_Qwen3-32B,Individualism,1,1,1,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,1,1,2,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,1,1,3,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,10,1,1,75.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,10,1,2,75.0,25.0,75.0
Qwen_Qwen3-32B,Individualism,10,1,3,75.0,100.0,75.0
Qwen_Qwen3-32B,Individualism,100,1,1,50.0,50.0,100.0
Qwen_Qwen3-32B,Individualism,100,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,100,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,102,1,1,50.0,25.0,50.0
Qwen_Qwen3-32B,Individualism,102,1,2,50.0,25.0,50.0
Qwen_Qwen3-32B,Individualism,102,1,3,50.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,103,1,1,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,103,1,2,25.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,103,1,3,25.0,25.0,25.0
Qwen_Qwen3-32B,Individualism,104,1,1,75.0,75.0,75.0
Qwen_Qwen3-32B,Individualism,104,1,2,75.0,0.0,75.0
Qwen_Qwen3-32B,Individualism,104,1,3,75.0,100.0,25.0
Qwen_Qwen3-32B,Individualism,105,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,105,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,105,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,106,1,1,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,106,1,2,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,106,1,3,50.0,50.0,50.0
Qwen_Qwen3-32B,Individualism,107,1,1,75.0,75.0,75.0
