model_id,dimension,k_temps,n_blocks,friedman_chi2,friedman_p,kendalls_W
Qwen_Qwen3-32B,Individualism,3,396,2.9922480620179006,0.22399668395501013,0.003778090987396339
Qwen_Qwen3-32B,Indulgence,3,417,6.699999999998987,0.0350843541008628,0.008033573141485596
Qwen_Qwen3-32B,Long_Term_Orientation,3,423,1.0604490500850048,0.588472827957639,0.0012534858748049701
Qwen_Qwen3-32B,Masculinity,3,435,5.86644951140016,0.053225123083088625,0.006743045415402483
Qwen_Qwen3-32B,Power_Distance,3,450,3.658291457285847,0.1605506630413516,0.0040647682858731635
Qwen_Qwen3-32B,Uncertainty_Avoidance,3,444,1.5729166666662118,0.45545501200807004,0.0017713025525520404
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Individualism,3,393,3.6748768472916082,0.15922477056950365,0.004675415836248866
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Indulgence,3,417,6.730769230767342,0.034548725590948855,0.008070466703557964
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Long_Term_Orientation,3,423,10.434782608695226,0.0054214536176634435,0.012334258402713034
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Masculinity,3,432,10.708058124173219,0.004729058891709286,0.012393585791867152
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Power_Distance,3,447,4.218225419664102,0.12134558742744439,0.00471837295264441
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Uncertainty_Avoidance,3,444,0.15053763440834136,0.9274941264359867,0.00016952436307245648
google_gemma-3-27b-it,Individualism,3,396,0.11111111111434496,0.945959468905236,0.00014029180696255677
google_gemma-3-27b-it,Indulgence,3,417,0.39999999992359997,0.8187307531092574,0.0004796163068628297
google_gemma-3-27b-it,Long_Term_Orientation,3,423,5.090909090913405,0.07843739051696148,0.006017623038904733
google_gemma-3-27b-it,Masculinity,3,435,2.181818181794702,0.3359109812431059,0.002507836990568623
google_gemma-3-27b-it,Power_Distance,3,450,1.1999999999898125,0.5488116360968219,0.001333333333322014
google_gemma-3-27b-it,Uncertainty_Avoidance,3,444,4.000000000009103,0.1353352832359967,0.004504504504514756
mistralai_Mistral-7B-Instruct-v0.3,Individualism,3,396,5.38618925831403,0.06767119774124518,0.006800744013022764
mistralai_Mistral-7B-Instruct-v0.3,Indulgence,3,417,2.384615384612826,0.3035200244300282,0.002859251060686842
mistralai_Mistral-7B-Instruct-v0.3,Long_Term_Orientation,3,423,0.3951612903234315,0.8207139513495091,0.00046709372378656207
mistralai_Mistral-7B-Instruct-v0.3,Masculinity,3,435,2.4701492537291982,0.29081305909125343,0.0028392520157806875
mistralai_Mistral-7B-Instruct-v0.3,Power_Distance,3,450,2.9741697416952153,0.22603060447487883,0.003304633046328017
mistralai_Mistral-7B-Instruct-v0.3,Uncertainty_Avoidance,3,444,9.202492211839958,0.01003931789350952,0.010363166905225178
