model_id,dimension,temp_a,temp_b,wilcoxon_T,p_raw,p_holm,rank_biserial_r,n_pairs
Qwen_Qwen3-32B,Individualism,0.0,0.5,3072.5,0.0998750040087502,0.2996250120262506,0.16745698414848942,396
Qwen_Qwen3-32B,Individualism,0.0,1.0,3716.0,0.24614597064957555,0.4922919412991511,0.11365533691115082,396
Qwen_Qwen3-32B,Individualism,0.5,1.0,2331.0,0.6018227598882282,0.6018227598882282,0.05818181818181822,396
Qwen_Qwen3-32B,Indulgence,0.0,0.5,1409.0,0.044279502299765655,0.08855900459953131,0.22900136798905613,417
Qwen_Qwen3-32B,Indulgence,0.0,1.0,1950.0,0.00856281219264013,0.025688436577920394,0.27184466019417475,417
Qwen_Qwen3-32B,Indulgence,0.5,1.0,2184.0,0.5603552622484234,0.5603552622484234,0.061855670103092786,417
Qwen_Qwen3-32B,Long_Term_Orientation,0.0,0.5,3415.0,0.44919816564606896,0.8401204274991382,0.07465113128302403,423
Qwen_Qwen3-32B,Long_Term_Orientation,0.0,1.0,5125.0,0.8401204274991382,0.8401204274991382,0.01819923371647514,423
Qwen_Qwen3-32B,Long_Term_Orientation,0.5,1.0,3715.5,0.2930437645831385,0.8401204274991382,0.09992732558139539,423
Qwen_Qwen3-32B,Masculinity,0.0,0.5,4379.0,0.9805447579511765,0.9805447579511765,0.0022784233310548796,435
Qwen_Qwen3-32B,Masculinity,0.0,1.0,4443.0,0.029919888489816217,0.059839776979632435,0.19408670415381823,435
Qwen_Qwen3-32B,Masculinity,0.5,1.0,3595.5,0.019818191143244856,0.059454573429734564,0.21666666666666667,435
Qwen_Qwen3-32B,Power_Distance,0.0,0.5,3647.0,0.35224568588310434,0.35224568588310434,0.08836395450568679,450
Qwen_Qwen3-32B,Power_Distance,0.0,1.0,4245.5,0.3341423580544238,0.35224568588310434,0.08855732073851441,450
Qwen_Qwen3-32B,Power_Distance,0.5,1.0,4195.0,0.05298186372730724,0.15894559118192172,0.17364325815030035,450
Qwen_Qwen3-32B,Uncertainty_Avoidance,0.0,0.5,3455.5,0.08431988782311499,0.23279654019099863,0.1629118217054264,444
Qwen_Qwen3-32B,Uncertainty_Avoidance,0.0,1.0,4248.0,0.9807525101221596,0.9807525101221596,0.002231356429829745,444
Qwen_Qwen3-32B,Uncertainty_Avoidance,0.5,1.0,3567.5,0.11639827009549931,0.23279654019099863,0.14907573047107936,444
