model_id,size,params_log,country_ref,MAE,RMSE,L2,L1,L_inf,Cosine,CosineDist,Pearson_r,Spearman_rho,R2_from_Pearson,Canberra,BrayCurtis,Bias
deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B,S,9.17609125905568,China,20.565864863945666,24.065733984883636,58.948768548521,123.39518918367402,38.496350364963504,0.9209707758496966,0.07902922415030345,0.10774038764698265,0.3714285714285715,0.011607991130322093,1.231010397867128,0.2107220305474996,-9.069539254258578
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,M,9.903089986991944,China,21.261671553826282,26.232800555241784,64.25697588454162,127.57002932295771,48.715328467153284,0.8918870356914308,0.1081129643085692,-0.026791173296355233,0.14285714285714288,0.0007177669665953377,1.3192810187020017,0.21084654229754465,-5.827111404612569
Qwen_Qwen3-0.6B,XS,8.778151250383644,China,21.491370478230213,30.444905210154317,74.57448303227915,128.9482228693813,51.82142857142857,0.9155781756807981,0.08442182431920187,0.17789818194851847,0.14285714285714288,0.03164776314058818,1.248634386038771,0.2508043343736313,-20.97687772460703
Qwen_Qwen3-32B,XL,10.505149978319906,China,21.606256662943668,26.12261888052814,63.98708700248786,129.63753997766202,43.5,0.8999060236851377,0.10009397631486228,-0.09146822661946295,-0.48571428571428577,0.008366436480909432,1.3041906458997214,0.22152151804253964,-9.130965151680934
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,M,9.845098040014255,China,21.75201974077467,25.97747705022698,63.6315635779164,130.51211844464802,40.30935251798561,0.8941415943502754,0.1058584056497246,-0.05841470346410055,-0.08571428571428573,0.0034122775807988006,1.317903093644932,0.21493706626613648,-5.464858534414685
Qwen_Qwen3-8B,M,9.903089986991944,China,21.82708733531376,26.759148506465646,65.54625979219941,130.96252401188255,44.857142857142854,0.8917542887259838,0.10824571127401617,-0.10353267585097335,-0.4285714285714286,0.01071901496886272,1.331180588218853,0.2228665492529081,-8.72874189292926
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,10.505149978319906,China,22.44084503984064,27.370022842652173,67.04259021281777,134.64507023904383,44.90780141843972,0.8924320735279412,0.10756792647205882,-0.18166573279389667,-0.3714285714285715,0.033002438471543466,1.3641841793800202,0.2345665307428285,-10.997242010153807
Qwen_Qwen3-4B,S,9.602059991327964,China,22.55041952929937,26.94193007843116,65.9939813778987,135.30251717579623,45.47826086956522,0.8884241375597509,0.11157586244024909,-0.1438973057236832,-0.4285714285714286,0.02070643459453515,1.3712003200264953,0.22853722126288062,-7.993814145369085
Qwen_Qwen3-1.7B,S,9.230448921378274,China,22.91749403733917,24.26301891908245,59.432015971246656,137.50496422403506,33.02836879432624,0.9095844331413557,0.09041556685864427,0.12008524142513247,0.14285714285714288,0.01442046520813235,1.33471190108929,0.21227057502327754,1.2969266614526482
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,L,10.146128035678238,China,23.00093027656142,29.251776368675152,71.65192617325715,138.00558165936852,49.87234042553192,0.8711304020473042,0.1288695979526958,-0.20390869460579836,-0.4285714285714286,0.04157875573584074,1.4166131879713908,0.242189786303423,-11.695980133481783
Qwen_Qwen3-14B,L,10.146128035678238,China,23.524255953801973,28.407709558366843,69.58439317918322,141.14553572281184,46.333333333333336,0.8775853028144864,0.12241469718551357,-0.3060889809034694,-0.4285714285714286,0.09369046423052446,1.4422875791045264,0.24341492503007262,-10.02404727553574
mistralai_Mistral-7B-Instruct-v0.3,M,9.845098040014255,Europe-France,30.272930059982002,33.66620581415818,82.46502582020786,181.637580359892,49.17567567567568,0.9514782178875797,0.04852178211242031,0.017893913427662944,0.028571428571428574,0.0003201921377566962,1.8344303953000107,0.312230618842825,-29.37637833584407
ibm-granite_granite-3.3-2b-instruct,S,9.30102999566398,USA,8.146253282426002,13.418206069231402,32.86775813313331,48.877519694556014,30.949640287769782,0.9770115192971752,0.022988480702824776,0.3370307824550526,0.028571428571428574,0.11358974832226498,0.47787375158190293,0.08072644686129563,-7.754839141011861
meta-llama_Llama-3.1-8B-Instruct,M,9.903089986991944,USA,12.036687021265976,15.095221264209444,36.97558965172355,72.22012212759586,29.330935251798564,0.9849152134379083,0.015084786562091668,0.40264787243895406,0.14285714285714288,0.1621253091796162,0.718062310874914,0.12456472686257974,-12.036687021265976
google_gemma-3-12b-it,L,10.079181246047623,USA,12.499293241088214,15.114642699444053,37.023162258120855,74.99575944652929,28.071942446043167,0.9880001494314438,0.011999850568556236,0.49379029204535724,0.3714285714285715,0.2438288525182392,0.7412134437548048,0.12997436444243857,-12.499293241088216
google_gemma-3-1b-it,XS,9.0,USA,13.441962603050605,16.529940281629486,40.48991916866991,80.65177561830365,30.230215827338128,0.9789188690412753,0.02108113095872466,-0.0828093515362352,-0.08571428571428573,0.006857388701851779,0.8031912994547653,0.13985495901389333,-12.553073714161718
google_gemma-3-27b-it,XL,10.431363764158988,USA,13.714637822478913,15.305370044870136,37.49034693441031,82.2878269348735,25.55395683453237,0.9908425284654846,0.009157471534515405,0.7204189167406896,0.6571428571428573,0.5190034155978286,0.8655724912053392,0.14443754377259338,-13.714637822478915
ibm-granite_granite-3.3-8b-instruct,M,9.903089986991944,USA,14.005377732313132,17.23230232630441,42.21034779282135,84.03226639387879,30.230215827338128,0.9772466639839696,0.022753336016030357,0.42513715477854935,0.4285714285714286,0.18074160037320022,0.9037864197301142,0.14795253571949238,-14.00537773231313
google_gemma-3-4b-it,S,9.602059991327964,USA,18.799772799720674,20.77846267064451,50.8966311825469,112.79863679832405,35.62589928057554,0.985100823564102,0.014899176435897998,0.4311595113530344,0.3714285714285715,0.18589852423018738,1.2260476100941191,0.2091957559761107,-18.799772799720674
