model_id,size,MAE,L2,L1,L_inf,Cosine,CosineDist,comparison_group
mistralai_Mistral-7B-Instruct-v0.3,M,30.272930059982002,82.46502582020786,181.637580359892,49.17567567567568,0.9514782178875797,0.04852178211242031,Europe
Qwen_Qwen3-0.6B,XS,21.491370478230213,74.57448303227915,128.9482228693813,51.82142857142857,0.9155781756807981,0.08442182431920187,ChinaMean
Qwen_Qwen3-1.7B,S,22.91749403733917,59.432015971246656,137.50496422403506,33.02836879432624,0.9095844331413557,0.09041556685864427,ChinaMean
Qwen_Qwen3-14B,L,23.524255953801973,69.58439317918322,141.14553572281184,46.333333333333336,0.8775853028144864,0.12241469718551357,ChinaMean
Qwen_Qwen3-32B,XL,21.606256662943668,63.98708700248786,129.63753997766202,43.5,0.8999060236851377,0.10009397631486228,ChinaMean
Qwen_Qwen3-4B,S,22.55041952929937,65.9939813778987,135.30251717579623,45.47826086956522,0.8884241375597509,0.11157586244024909,ChinaMean
Qwen_Qwen3-8B,M,21.82708733531376,65.54625979219941,130.96252401188255,44.857142857142854,0.8917542887259838,0.10824571127401617,ChinaMean
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,M,21.261671553826282,64.25697588454162,127.57002932295771,48.715328467153284,0.8918870356914308,0.1081129643085692,ChinaMean
deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B,S,20.565864863945666,58.948768548521,123.39518918367402,38.496350364963504,0.9209707758496966,0.07902922415030345,ChinaMean
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,L,23.00093027656142,71.65192617325715,138.00558165936852,49.87234042553192,0.8711304020473042,0.1288695979526958,ChinaMean
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,22.44084503984064,67.04259021281777,134.64507023904383,44.90780141843972,0.8924320735279412,0.10756792647205882,ChinaMean
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,M,21.75201974077467,63.6315635779164,130.51211844464802,40.30935251798561,0.8941415943502754,0.1058584056497246,ChinaMean
google_gemma-3-12b-it,L,12.499293241088214,37.023162258120855,74.99575944652929,28.071942446043167,0.9880001494314438,0.011999850568556236,USAMean
google_gemma-3-1b-it,XS,13.441962603050605,40.48991916866991,80.65177561830365,30.230215827338128,0.9789188690412753,0.02108113095872466,USAMean
google_gemma-3-27b-it,XL,13.714637822478913,37.49034693441031,82.2878269348735,25.55395683453237,0.9908425284654846,0.009157471534515405,USAMean
google_gemma-3-4b-it,S,18.799772799720674,50.8966311825469,112.79863679832405,35.62589928057554,0.985100823564102,0.014899176435897998,USAMean
ibm-granite_granite-3.3-2b-instruct,S,8.146253282426002,32.86775813313331,48.877519694556014,30.949640287769782,0.9770115192971752,0.022988480702824776,USAMean
ibm-granite_granite-3.3-8b-instruct,M,14.005377732313132,42.21034779282135,84.03226639387879,30.230215827338128,0.9772466639839696,0.022753336016030357,USAMean
meta-llama_Llama-3.1-8B-Instruct,M,12.036687021265976,36.97558965172355,72.22012212759586,29.330935251798564,0.9849152134379083,0.015084786562091668,USAMean
