model_id,size,params_log,country_ref,Power_Distance,Individualism,Masculinity,Uncertainty_Avoidance,Long_Term_Orientation,Indulgence
Qwen_Qwen3-0.6B,XS,8.778151250383644,China,31.5,41.28787878787879,43.40277777777778,27.226027397260275,25.178571428571427,25.543478260869566
Qwen_Qwen3-1.7B,S,9.230448921378274,China,48.166666666666664,67.04545454545455,76.3986013986014,51.55172413793103,43.97163120567376,40.64748201438849
Qwen_Qwen3-14B,L,10.146128035678238,China,33.666666666666664,54.35606060606061,56.724137931034484,40.87837837837838,31.964285714285715,42.26618705035971
Qwen_Qwen3-32B,XL,10.505149978319906,China,36.5,54.54545454545455,57.58620689655172,38.513513513513516,36.702127659574465,41.36690647482014
Qwen_Qwen3-4B,S,9.602059991327964,China,40.2027027027027,58.587786259541986,59.642857142857146,40.476190476190474,31.52173913043478,41.605839416058394
Qwen_Qwen3-8B,M,9.903089986991944,China,38.5,55.871212121212125,60.689655172413794,40.136054421768705,32.142857142857146,40.28776978417266
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,M,9.903089986991944,China,47.44897959183673,57.421875,66.84782608695652,43.793103448275865,28.284671532846716,41.24087591240876
deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B,S,9.17609125905568,China,42.398648648648646,51.16279069767442,53.191489361702125,42.1875,38.503649635036496,38.13868613138686
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,L,10.146128035678238,China,33.333333333333336,54.734848484848484,58.44827586206897,37.33108108108108,27.127659574468087,38.84892086330935
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,XL,10.505149978319906,China,35.90604026845637,52.48091603053435,54.6875,40.54054054054054,32.09219858156028,38.30935251798561
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,M,9.845098040014255,China,39.76510067114094,61.627906976744185,64.8936170212766,45.0,36.69064748201439,39.23357664233577
google_gemma-3-12b-it,L,10.079181246047623,USA,38.666666666666664,48.29545454545455,46.89655172413793,41.0472972972973,36.170212765957444,39.92805755395683
google_gemma-3-1b-it,XS,9.0,USA,42.666666666666664,46.21212121212121,44.13793103448276,44.25675675675676,35.638297872340424,37.76978417266187
google_gemma-3-27b-it,XL,10.431363764158988,USA,31.666666666666668,45.07575757575758,53.275862068965516,39.86486486486486,31.382978723404257,42.44604316546763
google_gemma-3-4b-it,S,9.602059991327964,USA,31.833333333333332,43.56060606060606,41.03448275862069,34.96621621621622,29.43262411347518,32.37410071942446
ibm-granite_granite-3.3-2b-instruct,S,9.30102999566398,USA,39.5,61.17424242424242,57.241379310344826,44.25675675675676,40.248226950354606,37.05035971223022
ibm-granite_granite-3.3-8b-instruct,M,9.903089986991944,USA,35.5,49.053030303030305,52.06896551724138,42.398648648648646,25.177304964539008,37.76978417266187
meta-llama_Llama-3.1-8B-Instruct,M,9.903089986991944,USA,38.833333333333336,47.916666666666664,51.37931034482759,42.229729729729726,34.751773049645394,38.669064748201436
mistralai_Mistral-7B-Instruct-v0.3,M,9.845098040014255,Europe-France,28.666666666666668,39.77272727272727,45.689655172413794,36.82432432432432,25.70921985815603,26.07913669064748
