model_id,country_ref,size,MAE,L2,Cosine
Qwen_Qwen3-0.6B,China,XS,21.491370478230213,74.57448303227915,0.9155781756807981
Qwen_Qwen3-1.7B,China,S,22.91749403733917,59.432015971246656,0.9095844331413557
Qwen_Qwen3-14B,China,L,23.524255953801973,69.58439317918322,0.8775853028144864
Qwen_Qwen3-32B,China,XL,21.606256662943668,63.98708700248786,0.8999060236851377
Qwen_Qwen3-4B,China,S,22.55041952929937,65.9939813778987,0.8884241375597509
Qwen_Qwen3-8B,China,M,21.82708733531376,65.54625979219941,0.8917542887259838
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,China,M,21.261671553826282,64.25697588454162,0.8918870356914308
deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B,China,S,20.565864863945666,58.948768548521,0.9209707758496966
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,China,L,23.00093027656142,71.65192617325715,0.8711304020473042
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,China,XL,22.44084503984064,67.04259021281777,0.8924320735279412
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,China,M,21.75201974077467,63.6315635779164,0.8941415943502754
google_gemma-3-12b-it,USA,L,12.499293241088214,37.023162258120855,0.9880001494314438
google_gemma-3-1b-it,USA,XS,13.441962603050605,40.48991916866991,0.9789188690412753
google_gemma-3-27b-it,USA,XL,13.714637822478913,37.49034693441031,0.9908425284654846
google_gemma-3-4b-it,USA,S,18.799772799720674,50.8966311825469,0.985100823564102
ibm-granite_granite-3.3-2b-instruct,USA,S,8.146253282426002,32.86775813313331,0.9770115192971752
ibm-granite_granite-3.3-8b-instruct,USA,M,14.005377732313132,42.21034779282135,0.9772466639839696
meta-llama_Llama-3.1-8B-Instruct,USA,M,12.036687021265976,36.97558965172355,0.9849152134379083
mistralai_Mistral-7B-Instruct-v0.3,Europe-France,M,30.272930059982002,82.46502582020786,0.9514782178875797
