original_index,n_runs,std,range,agreement_pct,level_1_count,level_2_count,level_3_count,level_4_count,level_5_count,level_mode,level_mean
0,3,0.0,0,100.0,0,0,0,3,0,4,4.0
1,3,0.0,0,100.0,0,3,0,0,0,2,2.0
2,3,0.0,0,100.0,0,0,0,0,3,5,5.0
3,3,0.0,0,100.0,0,0,0,3,0,4,4.0
4,3,0.0,0,100.0,0,0,3,0,0,3,3.0
5,3,0.0,0,100.0,0,0,0,0,3,5,5.0
8,3,0.0,0,100.0,3,0,0,0,0,1,1.0
9,3,0.0,0,100.0,3,0,0,0,0,1,1.0
10,3,0.0,0,100.0,0,0,3,0,0,3,3.0
11,3,0.0,0,100.0,0,0,0,3,0,4,4.0
12,3,0.0,0,100.0,0,0,3,0,0,3,3.0
15,3,0.0,0,100.0,0,3,0,0,0,2,2.0
16,3,0.0,0,100.0,0,0,0,0,3,5,5.0
17,3,0.0,0,100.0,3,0,0,0,0,1,1.0
18,3,0.0,0,100.0,0,0,0,3,0,4,4.0
19,3,0.0,0,100.0,0,0,3,0,0,3,3.0
20,3,0.0,0,100.0,0,0,0,0,3,5,5.0
21,3,0.0,0,100.0,0,0,0,3,0,4,4.0
24,3,0.0,0,100.0,0,0,0,3,0,4,4.0
27,3,0.0,0,100.0,0,0,0,3,0,4,4.0
29,3,0.0,0,100.0,3,0,0,0,0,1,1.0
31,3,0.0,0,100.0,0,3,0,0,0,2,2.0
34,3,0.0,0,100.0,0,0,3,0,0,3,3.0
36,3,0.0,0,100.0,3,0,0,0,0,1,1.0
37,3,0.0,0,100.0,0,0,0,0,3,5,5.0
38,3,0.0,0,100.0,0,0,3,0,0,3,3.0
39,3,0.0,0,100.0,3,0,0,0,0,1,1.0
40,0,0.0,0,,0,0,0,0,0,,
42,3,0.0,0,100.0,0,0,0,3,0,4,4.0
43,3,0.0,0,100.0,0,0,3,0,0,3,3.0
44,3,0.0,0,100.0,0,0,0,0,3,5,5.0
47,3,0.0,0,100.0,3,0,0,0,0,1,1.0
48,3,0.0,0,100.0,0,0,0,3,0,4,4.0
49,3,0.0,0,100.0,0,0,0,3,0,4,4.0
50,3,0.0,0,100.0,0,0,3,0,0,3,3.0
51,3,0.0,0,100.0,0,3,0,0,0,2,2.0
53,3,0.0,0,100.0,0,0,3,0,0,3,3.0
54,3,0.0,0,100.0,0,0,0,3,0,4,4.0
55,3,0.0,0,100.0,3,0,0,0,0,1,1.0
56,3,0.0,0,100.0,0,0,0,3,0,4,4.0
57,3,0.0,0,100.0,0,0,3,0,0,3,3.0
58,3,0.0,0,100.0,0,0,3,0,0,3,3.0
59,0,0.0,0,,0,0,0,0,0,,
60,3,0.0,0,100.0,3,0,0,0,0,1,1.0
61,3,0.0,0,100.0,0,0,0,3,0,4,4.0
62,3,0.0,0,100.0,0,0,3,0,0,3,3.0
63,3,0.0,0,100.0,0,3,0,0,0,2,2.0
64,3,0.0,0,100.0,3,0,0,0,0,1,1.0
66,3,0.0,0,100.0,0,0,0,0,3,5,5.0
67,3,0.0,0,100.0,0,3,0,0,0,2,2.0
70,3,0.0,0,100.0,0,3,0,0,0,2,2.0
72,3,0.0,0,100.0,0,3,0,0,0,2,2.0
73,3,0.0,0,100.0,0,0,0,3,0,4,4.0
78,3,0.0,0,100.0,0,0,3,0,0,3,3.0
79,3,0.0,0,100.0,0,3,0,0,0,2,2.0
80,3,0.0,0,100.0,0,0,0,3,0,4,4.0
81,3,0.0,0,100.0,0,0,3,0,0,3,3.0
84,3,0.0,0,100.0,0,0,0,3,0,4,4.0
85,3,0.0,0,100.0,0,0,0,0,3,5,5.0
88,3,0.0,0,100.0,0,3,0,0,0,2,2.0
90,3,0.0,0,100.0,0,0,0,3,0,4,4.0
97,3,0.0,0,100.0,0,0,0,3,0,4,4.0
98,3,0.0,0,100.0,0,3,0,0,0,2,2.0
99,3,0.0,0,100.0,0,0,0,0,3,5,5.0
100,3,0.0,0,100.0,0,0,3,0,0,3,3.0
102,3,0.0,0,100.0,0,3,0,0,0,2,2.0
103,3,0.0,0,100.0,0,3,0,0,0,2,2.0
104,3,0.0,0,100.0,0,3,0,0,0,2,2.0
105,3,0.0,0,100.0,0,0,0,0,3,5,5.0
106,3,0.0,0,100.0,0,0,3,0,0,3,3.0
107,3,0.0,0,100.0,0,0,0,3,0,4,4.0
109,3,0.0,0,100.0,0,0,0,0,3,5,5.0
110,3,0.0,0,100.0,0,3,0,0,0,2,2.0
113,3,0.0,0,100.0,0,3,0,0,0,2,2.0
114,3,0.0,0,100.0,0,3,0,0,0,2,2.0
118,3,0.0,0,100.0,0,0,0,3,0,4,4.0
119,3,0.0,0,100.0,0,0,0,3,0,4,4.0
121,3,0.0,0,100.0,0,0,0,0,3,5,5.0
